Latitude;Longitude;OBJECTID;PONTO_RECOLHA_LOCAL;CONTENTOR_RESÍDUO;CONTENTOR_TOTAL_LITROS
-9.149113446;38.7088211;427;15821: R da Boavista (Ambos (45->49)(86->90): Bqr dos Ferreiros - Tv Marques de Sampaio);Lixos;480
-9.149113446;38.7088211;428;15821: R da Boavista (Ambos (45->49)(86->90): Bqr dos Ferreiros - Tv Marques de Sampaio);Lixos;90
-9.149493546;38.70887183;429;15822: R da Boavista (Ambos (51->67)(96->118): Tv Marques de Sampaio - Pto Galega (Rua da Boavista, 118));Lixos;180
-9.149493546;38.70887183;430;15822: R da Boavista (Ambos (51->67)(96->118): Tv Marques de Sampaio - Pto Galega (Rua da Boavista, 118));Lixos;120
-9.149493546;38.70887183;431;15822: R da Boavista (Ambos (51->67)(96->118): Tv Marques de Sampaio - Pto Galega (Rua da Boavista, 118));Lixos;140
-9.149493546;38.70887183;432;15822: R da Boavista (Ambos (51->67)(96->118): Tv Marques de Sampaio - Pto Galega (Rua da Boavista, 118));Lixos;720
-9.150183884;38.70891086;433;15823: R da Boavista (Ambos (69->83)(120->176): Pto Galega (Rua da Boavista, 118) - R Instituto Industrial);Lixos;1680
-9.150183884;38.70891086;434;15823: R da Boavista (Ambos (69->83)(120->176): Pto Galega (Rua da Boavista, 118) - R Instituto Industrial);Lixos;270
-9.150183884;38.70891086;435;15823: R da Boavista (Ambos (69->83)(120->176): Pto Galega (Rua da Boavista, 118) - R Instituto Industrial);Lixos;3120
-9.150183884;38.70891086;436;15823: R da Boavista (Ambos (69->83)(120->176): Pto Galega (Rua da Boavista, 118) - R Instituto Industrial);Lixos;120
-9.150793117;38.70890555;437;15824: R da Boavista (Ambos (->93)(180->186): R Instituto Industrial - Lg Conde-Barao);Lixos;280
-9.150793117;38.70890555;438;15824: R da Boavista (Ambos (->93)(180->186): R Instituto Industrial - Lg Conde-Barao);Lixos;120
-9.150793117;38.70890555;439;15824: R da Boavista (Ambos (->93)(180->186): R Instituto Industrial - Lg Conde-Barao);Lixos;90
-9.152060348;38.70828196;440;15825: Tv do Cais do Tojo (Ambos (->)(->): R Cais do Tojo - R Cais do Tojo);Lixos;140
-9.152472114;38.70813424;441;15827: R Cais do Tojo (Ambos (33->57)(34->62): Av Dom Carlos I - Tv do Cais do Tojo);Lixos;1920
-9.152472114;38.70813424;442;15827: R Cais do Tojo (Ambos (33->57)(34->62): Av Dom Carlos I - Tv do Cais do Tojo);Lixos;120
-9.151783576;38.70822132;443;15828: R Cais do Tojo (Ambos (1->29)(10->30): Tv do Cais do Tojo - Bqr do Duro);Lixos;90
-9.151783576;38.70822132;444;15828: R Cais do Tojo (Ambos (1->29)(10->30): Tv do Cais do Tojo - Bqr do Duro);Lixos;120
-9.151783576;38.70822132;445;15828: R Cais do Tojo (Ambos (1->29)(10->30): Tv do Cais do Tojo - Bqr do Duro);Lixos;420
-9.151783576;38.70822132;446;15828: R Cais do Tojo (Ambos (1->29)(10->30): Tv do Cais do Tojo - Bqr do Duro);Lixos;480
-9.151544743;38.70840356;447;15830: Bqr do Duro (Ambos (->)(->): R Cais do Tojo - R Cais do Tojo);Lixos;1200
